GF DoITT Submitted to CB (A),Site ID,Latitude,Longitude,Borough,Zoning,Council District,Community Board,Street Address,Cross_Street 1,Cross_Street 2,Corner_location,Postcode,BID,Site in Business Improvement District (BID)?,Link In Historic District,NTA,GF Permit_Appl_Id,DoITT: DoITT NTP Issued (A),GF CB Comment Period Ends (A),DoITT: GF DoITT Submitted to CB (A),BIN,BBL,Census Tract,Location 1,Legacy ID,Site Type,Initial Submission (A),Final Submission (A)
03/09/2018,BX-01-GF22090,40.81815,-73.90512,Bronx,C2-4,17,201,755 WESTCHESTER AVENUE,TINTON AVENUE,EAST 156 STREET,N,10456,,No,0,Melrose South-Mott Haven North,82625,,05/08/2018,03/09/2018,2004690,2026550030,2007700,"(40.81814626, -73.90511862)",LINK-020519,New Site,02/14/2018,
08/31/2017,BX-01-GF22142,40.82159,-73.91505,Bronx,C1-4,17,201,760 MELROSE AVENUE,MELROSE AVENUE,ELTON AVENUE,SE,10451,,No,0,Melrose South-Mott Haven North,82163,,10/30/2017,08/31/2017,2114124,2023780001,2006900,"(40.82159005, -73.9150454)",LINK-020571,New Site,08/11/2017,
03/09/2018,BX-01-GF22091,40.81870,-73.90386,Bronx,C2-4,17,201,785 WESTCHESTER AVENUE,UNION AVENUE,TINTON AVENUE,N,10456,,No,0,Melrose South-Mott Haven North,82626,,05/08/2018,03/09/2018,2088184,2026550022,2007700,"(40.81869616, -73.90385548)",LINK-020520,New Site,02/14/2018,
09/21/2018,qu-07-GF44401,40.76501,-73.81963,Queens,C1-2,20,407,146-26 NORTHERN BOULEVARD,146 STREET,147 STREET,SW,11354,,No,0,Murray Hill,82602,,11/20/2018,09/12/2018,4113425,4050140040,4116300,"(40.76500902, -73.81962914)",LINK-020886,New Site,02/05/2018,
07/19/2017,qu-03-GF44131,40.75528,-73.88706,Queens,C1-2,25,403,80-02 NORTHERN BOULEVARD,80 STREET,81 STREET,,11372,,No,0,Jackson Heights,81983,,09/17/2017,07/19/2017,4028773,4012530001,4028500,"(40.755276, -73.887065)",LINK-020889,New Site,06/21/2017,
09/14/2017,BX-03-GF22098,40.82423,-73.91363,Bronx,C1-4,17,203,401 EAST 161 STREET,MELROSE AVENUE,ELTON AVENUE,NE,10451,,No,0,Morrisania-Melrose,82157,,11/13/2017,08/31/2017,2001502,2023830001,2014100,"(40.82422829, -73.91363185)",LINK-020527,New Site,08/11/2017,
01/19/2018,qu-03-GF44215,40.75730,-73.86782,Queens,C2-4,21,403,100-18 NORTHERN BOULEVARD,101 STREET,100 STREET,SW,11368,,No,0,North Corona,82455,,03/20/2018,12/06/2017,4042514,4017150008,4037700,"(40.75730069, -73.86781689)",LINK-020973,New Site,10/23/2017,
11/03/2017,qu-02-GF44214,40.74097,-73.91807,Queens,C1-3,26,402,47-02 47 AVENUE,47 STREET,48 STREET,SE,11377,,No,0,Hunters Point-Sunnyside-West Maspeth,82452,,01/02/2018,11/09/2017,4052900,4022850022,4023500,"(40.74096743, -73.91807224)",LINK-020972,New Site,10/11/2017,
09/21/2018,qu-07-GF44219,40.76524,-73.81664,Queens,C2-2,20,407,149-06 NORTHERN BOULEVARD,149 STREET,149 PLACE,MIDBLOCK,11354,,No,0,Murray Hill,82605,,11/20/2018,09/12/2018,4595272,4050177503,4115700,"(40.76523984, -73.81664344)",LINK-020977,New Site,02/05/2018,
09/15/2017,qu-03-GF44218,40.75471,-73.89450,Queens,C1-2,25,403,72-09 NORTHERN BOULEVARD,72 STREET,73 STREET,NE,11370,,No,0,Jackson Heights,82174,,11/14/2017,09/13/2017,4026458,4011680033,4030902,"(40.75471391, -73.89449796)",LINK-020976,New Site,08/16/2017,
