Census Tract,FIPS Code,Formatted FIPS,% of households w/o broadband
"36085025100, NY",36085025100,36085025100,16.08
"36081094202, NY",36081094202,36081094202,31.93
"36085000700, NY",36085000700,36085000700,40.13
"36061027500, NY",36061027500,36061027500,16.19
"36061006200, NY",36061006200,36061006200,20.18
"36085014604, NY",36085014604,36085014604,20.93
"36005028400, NY",36005028400,36005028400,15
"36081099802, NY",36081099802,36081099802,53.45
"36061016200, NY",36061016200,36061016200,44.09
"36085017010, NY",36085017010,36085017010,15.95
"36081086400, NY",36081086400,36081086400,23.75
"36047122000, NY",36047122000,36047122000,22.56
"36085018901, NY",36085018901,36085018901,19.58
"36085017009, NY",36085017009,36085017009,19.33
"36081127700, NY",36081127700,36081127700,16.94
"36081134700, NY",36081134700,36081134700,21.64
"36081029400, NY",36081029400,36081029400,51.71
"36081093401, NY",36081093401,36081093401,26.78
"36081032000, NY",36081032000,36081032000,33.52
"36061031100, NY",36061031100,36061031100,N/A
"36081138501, NY",36081138501,36081138501,16.67
"36081152902, NY",36081152902,36081152902,26.34
"36061025500, NY",36061025500,36061025500,38.03
"36085013204, NY",36085013204,36085013204,30.39
"36047062800, NY",36047062800,36047062800,28.11
"36085017008, NY",36085017008,36085017008,15.72
"36081121100, NY",36081121100,36081121100,N/A
"36005006300, NY",36005006300,36005006300,36.14
"36005029301, NY",36005029301,36005029301,15.68
"36085013203, NY",36085013203,36085013203,18.32
"36085008100, NY",36085008100,36085008100,41.32
"36085018702, NY",36085018702,36085018702,22.93
"36085027302, NY",36085027302,36085027302,22.24
"36081101001, NY",36081101001,36081101001,48.33
"36081080900, NY",36081080900,36081080900,22.32
"36081129102, NY",36081129102,36081129102,11.54
"36085015100, NY",36085015100,36085015100,23.9
"36085017012, NY",36085017012,36085017012,17.25
"36081101700, NY",36081101700,36081101700,27.71
"36085031902, NY",36085031902,36085031902,44.65
"36085007400, NY",36085007400,36085007400,28.75
"36005046202, NY",36005046202,36005046202,33.35
"36081099701, NY",36081099701,36081099701,28.23
"36081100801, NY",36081100801,36081100801,13.63
"36085006700, NY",36085006700,36085006700,19.88
"36061029900, NY",36061029900,36061029900,43.61
"36005002400, NY",36005002400,36005002400,0
"36081157901, NY",36081157901,36081157901,21.88
"36081147900, NY",36081147900,36081147900,21.53
"36047015400, NY",36047015400,36047015400,N/A
"36085030302, NY",36085030302,36085030302,23.07
"36081099200, NY",36081099200,36081099200,36.68
"36081044400, NY",36081044400,36081044400,35.31
"36081111300, NY",36081111300,36081111300,14.95
"36081141700, NY",36081141700,36081141700,21.66
"36085004700, NY",36085004700,36085004700,25.68
"36047103400, NY",36047103400,36047103400,26.7
"36081001900, NY",36081001900,36081001900,9.63
"36005019400, NY",36005019400,36005019400,30.83
"36085014605, NY",36085014605,36085014605,18.77
"36081150701, NY",36081150701,36081150701,11.5
"36081103900, NY",36081103900,36081103900,19.54
"36085015602, NY",36085015602,36085015602,15.25
"36061004400, NY",36061004400,36061004400,19.94
"36081079300, NY",36081079300,36081079300,N/A
"36081150702, NY",36081150702,36081150702,22.46
"36081093402, NY",36081093402,36081093402,23.96
"36047069602, NY",36047069602,36047069602,17.17
"36047109800, NY",36047109800,36047109800,28.87
"36085003300, NY",36085003300,36085003300,27.66
"36081056800, NY",36081056800,36081056800,18.22
"36085013400, NY",36085013400,36085013400,20.19
"36085013302, NY",36085013302,36085013302,37.68
"36005045600, NY",36005045600,36005045600,28.56
"36081104700, NY",36081104700,36081104700,32.76
"36085005000, NY",36085005000,36085005000,25.71
"36061013500, NY",36061013500,36061013500,26.26
"36085012200, NY",36085012200,36085012200,18.05
"36081091900, NY",36081091900,36081091900,31.95
"36081033000, NY",36081033000,36081033000,42.22
"36085010500, NY",36085010500,36085010500,35.43
"36061012900, NY",36061012900,36061012900,8.82
"36081065501, NY",36081065501,36081065501,N/A
"36047030400, NY",36047030400,36047030400,32.82
"36061023801, NY",36061023801,36061023801,17.78
"36047004600, NY",36047004600,36047004600,22.8
"36081028800, NY",36081028800,36081028800,43.76
"36085000800, NY",36085000800,36085000800,24.59
"36085016901, NY",36085016901,36085016901,21.79
"36085002002, NY",36085002002,36085002002,25.27
"36085018902, NY",36085018902,36085018902,25.96
"36047105804, NY",36047105804,36047105804,43.04
"36061007900, NY",36061007900,36061007900,14.6
"36061003900, NY",36061003900,36061003900,18.73
"36085021300, NY",36085021300,36085021300,33.84
"36047057900, NY",36047057900,36047057900,26.32
"36061000202, NY",36061000202,36061000202,45.81
"36081126700, NY",36081126700,36081126700,22.17
"36081083700, NY",36081083700,36081083700,28.37
"36047118000, NY",36047118000,36047118000,N/A
