"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of households without broadband internet such "
"36061023200, NY","36061023200","=""36061023200""","38.86"
"36061008800, NY","36061008800","=""36061008800""","14.70"
"36061016900, NY","36061016900","=""36061016900""","10.62"
"36061023501, NY","36061023501","=""36061023501""","33.02"
"36061014000, NY","36061014000","=""36061014000""","13.26"
"36061014200, NY","36061014200","=""36061014200""","11.07"
"36061009300, NY","36061009300","=""36061009300""","19.28"
"36061009100, NY","36061009100","=""36061009100""","14.57"
"36061000201, NY","36061000201","=""36061000201""","59.39"
"36061012800, NY","36061012800","=""36061012800""","11.36"
"36061017300, NY","36061017300","=""36061017300""","21.10"
"36061007700, NY","36061007700","=""36061007700""","14.15"
"36061020300, NY","36061020300","=""36061020300""","38.27"
"36061014500, NY","36061014500","=""36061014500""","13.24"
"36061027900, NY","36061027900","=""36061027900""","31.82"
"36061013000, NY","36061013000","=""36061013000""","18.43"
"36061004000, NY","36061004000","=""36061004000""","17.36"
"36061012100, NY","36061012100","=""36061012100""","24.41"
"36061017200, NY","36061017200","=""36061017200""","33.47"
"36061027300, NY","36061027300","=""36061027300""","15.92"
"36061009000, NY","36061009000","=""36061009000""","17.89"
"36061006300, NY","36061006300","=""36061006300""","14.97"
"36061006400, NY","36061006400","=""36061006400""","11.85"
"36061011900, NY","36061011900","=""36061011900""","71.16"
"36061016400, NY","36061016400","=""36061016400""","35.27"
"36061015400, NY","36061015400","=""36061015400""","21.51"
"36061019600, NY","36061019600","=""36061019600""","59.45"
"36061007800, NY","36061007800","=""36061007800""","13.30"
"36061007000, NY","36061007000","=""36061007000""","11.38"
"36061018200, NY","36061018200","=""36061018200""","41.07"
"36061009800, NY","36061009800","=""36061009800""","9.24"
"36061011800, NY","36061011800","=""36061011800""","14.76"
"36061018400, NY","36061018400","=""36061018400""","41.41"
"36061021200, NY","36061021200","=""36061021200""","28.30"
"36061011000, NY","36061011000","=""36061011000""","14.61"
"36061026900, NY","36061026900","=""36061026900""","38.26"
"36061011500, NY","36061011500","=""36061011500""","12.29"
"36061019300, NY","36061019300","=""36061019300""","35.18"
"36061010900, NY","36061010900","=""36061010900""","16.48"
"36061011300, NY","36061011300","=""36061011300""","0.00"
"36061004800, NY","36061004800","=""36061004800""","13.95"
"36061010100, NY","36061010100","=""36061010100""","12.27"
"36061005800, NY","36061005800","=""36061005800""","14.04"
"36061009600, NY","36061009600","=""36061009600""","30.10"
"36061019400, NY","36061019400","=""36061019400""","51.46"
"36061022000, NY","36061022000","=""36061022000""","30.19"
"36061011100, NY","36061011100","=""36061011100""","15.87"
"36061007200, NY","36061007200","=""36061007200""","17.01"
"36061017700, NY","36061017700","=""36061017700""","19.86"
"36061009700, NY","36061009700","=""36061009700""","30.70"
"36061006600, NY","36061006600","=""36061006600""","23.81"
"36061013300, NY","36061013300","=""36061013300""","20.91"
"36061006800, NY","36061006800","=""36061006800""","11.67"
"36061012500, NY","36061012500","=""36061012500""","12.00"
"36061007600, NY","36061007600","=""36061007600""","16.82"
"36061015300, NY","36061015300","=""36061015300""","14.75"
"36061008100, NY","36061008100","=""36061008100""","12.27"
"36061013100, NY","36061013100","=""36061013100""","19.65"
"36061014900, NY","36061014900","=""36061014900""","12.38"
"36061008300, NY","36061008300","=""36061008300""","26.08"
"36061012700, NY","36061012700","=""36061012700""","15.82"
"36061007400, NY","36061007400","=""36061007400""","14.13"
"36061023000, NY","36061023000","=""36061023000""","35.76"
"36061014402, NY","36061014402","=""36061014402""","10.25"
"36061005600, NY","36061005600","=""36061005600""","26.16"
"36061021600, NY","36061021600","=""36061021600""","31.61"
"36061010400, NY","36061010400","=""36061010400""","21.62"
"36061012000, NY","36061012000","=""36061012000""","15.83"
"36061008400, NY","36061008400","=""36061008400""","6.06"
"36061010200, NY","36061010200","=""36061010200""","17.86"
"36061010000, NY","36061010000","=""36061010000""","9.83"
"36061012200, NY","36061012200","=""36061012200""","22.06"
"36061010300, NY","36061010300","=""36061010300""","10.46"
"36061008000, NY","36061008000","=""36061008000""","21.21"
"36061008200, NY","36061008200","=""36061008200""","10.15"
"36061009500, NY","36061009500","=""36061009500""","7.81"
"36061016600, NY","36061016600","=""36061016600""","34.83"
"36061025300, NY","36061025300","=""36061025300""","34.11"
"36061006700, NY","36061006700","=""36061006700""","13.99"
"36061005200, NY","36061005200","=""36061005200""","14.30"
"36061005400, NY","36061005400","=""36061005400""","15.81"
"36061005000, NY","36061005000","=""36061005000""","10.35"
"36061008900, NY","36061008900","=""36061008900""","9.82"
"36061004700, NY","36061004700","=""36061004700""","15.65"
"36061008700, NY","36061008700","=""36061008700""","11.00"
"36061007300, NY","36061007300","=""36061007300""","10.02"
"36061007100, NY","36061007100","=""36061007100""","10.57"
"36061027700, NY","36061027700","=""36061027700""","49.72"
"36061002201, NY","36061002201","=""36061002201""","49.65"
"36061003400, NY","36061003400","=""36061003400""","21.88"
