AP Device Name,Boro,CB,PPT ID,Street Address,Latitude,Longitude,SSID(s),Uptime %,Number of Unique Clients,Number of Sessions,Minutes Used,MB Transferred (upload),MB Transferred (download),MB Transferred (total),Daily Avg - Number of Unique Clients,Daily Avg - Number of Sessions,Daily Avg - Minutes Used,Daily Avg - MB Transferred (upload),Daily Avg - MB Transferred (download),Daily Avg - MB Transferred (total)
bk-01-108703,bk,1,108703,213 UNION AVENUE,40.70682217,-73.95052895,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"11,593","36,797","102,960","17,046","142,473","159,519",374,"1,187","3,321",550,"4,596","5,146"
bk-01-108949,bk,1,108949,709 BROADWAY,40.701419,-73.942908,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",99.87%,"25,219","75,194","234,063","41,436","327,003","368,439",814,"2,426","7,550","1,337","10,548","11,885"
bk-01-108952,bk,1,108952,511 BROADWAY,40.70537096,-73.94996349,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"23,497","56,722","138,142","27,941","194,260","222,201",758,"1,830","4,456",901,"6,266","7,168"
bk-01-109091,bk,1,109091,24 GRAHAM AVENUE,40.70154219,-73.94216928,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",99.87%,"9,336","31,424","179,954","18,587","246,474","265,060",301,"1,014","5,805",600,"7,951","8,550"
bk-01-109252,bk,1,109252,395 BROADWAY,40.70720786,-73.95419488,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"35,990","107,471","298,471","52,864","359,326","412,189","1,894","5,656","15,709","2,782","18,912","21,694"
bk-01-109262,bk,1,109262,101 GRAHAM AVENUE,40.70506042,-73.94291758,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",48.05%,"3,621","11,190","36,978","8,397","70,917","79,315","3,621","11,190","36,978","8,397","70,917","79,315"
bk-01-125263,bk,1,125263,1007 MANHATTAN AVENUE,40.7334,-73.954886,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"6,695","32,881","176,930","28,199","445,754","473,953",216,"1,061","5,707",910,"14,379","15,289"
bk-01-125268,bk,1,125268,183 CALYER STREET,40.728133,-73.953439,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",99.87%,"12,693","53,799","186,636","34,806","250,232","285,038",409,"1,735","6,021","1,123","8,072","9,195"
bk-01-125630,bk,1,125630,61 GRAHAM AVENUE,40.703654,-73.942682,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",99.87%,"7,231","22,173","85,560","8,995","76,861","85,856",233,715,"2,760",290,"2,479","2,770"
bk-01-126207,bk,1,126207,268 BROADWAY,40.70877985,-73.95918257,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"37,759","179,194","386,981","56,345","328,840","385,184","1,218","5,780","12,483","1,818","10,608","12,425"
bk-01-126657,bk,1,126657,46 GRAHAM AVENUE,40.702247,-73.942287,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",99.87%,"6,538","21,356","73,875","9,950","63,497","73,447",211,689,"2,383",321,"2,048","2,369"
bk-01-126659,bk,1,126659,2 GRAHAM AVENUE,40.70099,-73.94209,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"27,663","88,320","242,262","28,851","211,353","240,203",892,"2,849","7,815",931,"6,818","7,748"
bk-01-126669,bk,1,126669,45 GRAHAM AVENUE,40.702936,-73.942563,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"7,091","31,452","132,848","31,439","391,411","422,850",229,"1,015","4,285","1,014","12,626","13,640"
bk-01-126673,bk,1,126673,202 GRAHAM AVENUE,40.70892202,-73.94338965,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"8,274","36,486","84,158","8,209","72,916","81,125",267,"1,177","2,715",265,"2,352","2,617"
bk-01-126861,bk,1,126861,691 METROPOLITAN AVENUE,40.71444574,-73.94594832,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"11,580","23,656","48,759","14,834","92,041","106,875",374,763,"1,573",479,"2,969","3,448"
bk-01-138951,bk,1,138951,15 DEBEVOISE STREET,40.70166753,-73.94248859,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",99.87%,"3,841","7,553","21,841","1,921","21,763","23,684",124,244,705,62,702,764
bk-01-140788,bk,1,140788,326 GRAHAM AVENUE,40.713913,-73.944206,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",99.87%,"11,109","39,620","112,980","29,581","293,385","322,966",358,"1,278","3,645",954,"9,464","10,418"
bk-01-143275,bk,1,143275,88 NORMAN AVENUE,40.725456,-73.951496,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"13,381","53,889","189,302","39,315","291,688","331,003",432,"1,738","6,107","1,268","9,409","10,678"
bk-01-143982,bk,1,143982,32 GRAHAM AVENUE,40.70193034,-73.94223924,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",99.87%,"4,186","14,352","63,688","7,152","54,722","61,874",135,463,"2,054",231,"1,765","1,996"
bk-01-145855,bk,1,145855,103 SEIGEL STREET,40.704496,-73.942989,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"6,565","23,687","68,409","15,110","132,613","147,723",212,764,"2,207",487,"4,278","4,765"
bk-01-145856,bk,1,145856,119 GRAHAM AVENUE,40.705768,-73.94303,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"8,863","41,803","147,476","23,720","198,241","221,961",286,"1,348","4,757",765,"6,395","7,160"
bk-01-145857,bk,1,145857,256 GRAHAM AVENUE,40.7110789,-73.94373207,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",99.87%,"9,492","42,155","186,234","25,882","368,973","394,855",306,"1,360","6,008",835,"11,902","12,737"
bk-01-145858,bk,1,145858,434 MANHATTAN AVENUE,40.719511,-73.946853,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"3,330","8,533","31,388","6,246","89,746","95,993",107,275,"1,013",201,"2,895","3,097"
bk-01-145859,bk,1,145859,475 MANHATTAN AVENUE,40.720111,-73.947627,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",99.87%,"3,149","9,778","62,129","10,633","97,882","108,515",102,315,"2,004",343,"3,157","3,500"
bk-01-145861,bk,1,145861,1049 MANHATTAN AVENUE,40.734684,-73.955096,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"4,426","18,234","60,056","11,275","77,990","89,266",143,588,"1,937",364,"2,516","2,880"
bk-01-145863,bk,1,145863,984 MANHATTAN AVENUE,40.732735,-73.954581,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",99.87%,"8,051","41,970","186,864","36,618","368,191","404,809",260,"1,354","6,028","1,181","11,877","13,058"
bk-01-145864,bk,1,145864,1133 MANHATTAN AVENUE,40.73691349,-73.95545319,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"3,325","23,860","130,183","43,754","489,088","532,842",107,770,"4,199","1,411","15,777","17,188"
bk-01-145892,bk,1,145892,145 MONTROSE AVENUE,40.707379,-73.943399,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",51.54%,"7,184","24,245","90,558","10,414","74,868","85,282","7,184","24,245","90,558","10,414","74,868","85,282"
bk-01-145988,bk,1,145988,561 METROPOLITAN AVENUE,40.71412964,-73.95028299,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"35,949","100,719","295,650","56,996","385,183","442,179","1,160","3,249","9,537","1,839","12,425","14,264"
bk-01-145995,bk,1,145995,29 SOUTH 3 STREET,40.71391386,-73.96693042,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",99.87%,"11,766","29,599","84,864","30,726","81,258","111,983",380,955,"2,738",991,"2,621","3,612"
bk-01-145996,bk,1,145996,79 GRAND STREET,40.71573175,-73.96424309,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",99.87%,"10,025","25,106","78,946","29,078","85,800","114,878",323,810,"2,547",938,"2,768","3,706"
bk-01-145997,bk,1,145997,500 GRAND STREET,40.71086983,-73.95131072,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",99.87%,"13,336","36,230","101,719","29,842","164,839","194,682",430,"1,169","3,281",963,"5,317","6,280"
bk-01-145998,bk,1,145998,7 NASSAU AVENUE,40.72253263,-73.95468869,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",99.87%,"9,984","28,255","175,638","746,127","796,687","1,542,814",322,911,"5,666","24,069","25,700","49,768"
bk-01-145999,bk,1,145999,31 NASSAU AVENUE,40.7230135,-73.95323355,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"6,310","17,484","46,854","8,821","45,154","53,975",204,564,"1,511",285,"1,457","1,741"
bk-01-146000,bk,1,146000,101 NORTH 5 STREET,40.71765823,-73.96030116,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"9,680","21,230","54,013","13,752","42,950","56,702",312,685,"1,742",444,"1,385","1,829"
bk-01-146001,bk,1,146001,185 BERRY STREET,40.71684975,-73.96084076,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",1.07%,123,193,766,218,772,990,4,6,25,7,25,32
bk-01-146002,bk,1,146002,203 BERRY STREET,40.71643057,-73.96128653,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"12,188","38,691","116,831","30,321","118,122","148,443",393,"1,248","3,769",978,"3,810","4,788"
bk-01-146006,bk,1,146006,175 GRAND STREET,40.71449771,-73.9610955,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"16,009","56,236","195,253","38,152","183,318","221,470",516,"1,814","6,298","1,231","5,913","7,144"
bk-01-146007,bk,1,146007,364 GRAND STREET,40.71226766,-73.95561039,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"12,718","25,071","84,728","33,786","84,814","118,600",410,809,"2,733","1,090","2,736","3,826"
bk-01-146010,bk,1,146010,145 WYTHE AVENUE,40.71940433,-73.96047431,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",99.87%,"14,848","37,711","101,089","50,511","120,931","171,441",479,"1,216","3,261","1,629","3,901","5,530"
bk-01-146011,bk,1,146011,63 GUERNSEY STREET,40.72329009,-73.95260309,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"12,539","46,447","160,128","33,724","211,011","244,735",404,"1,498","5,165","1,088","6,807","7,895"
bk-01-146012,bk,1,146012,230 BERRY STREET,40.71522663,-73.96274067,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",99.87%,"7,799","18,869","55,059","30,856","72,006","102,862",252,609,"1,776",995,"2,323","3,318"
bk-01-146013,bk,1,146013,115 NORTH 6 STREET,40.718187,-73.95968841,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",99.87%,"14,113","48,518","117,560","23,928","107,159","131,087",455,"1,565","3,792",772,"3,457","4,229"
bk-01-146014,bk,1,146014,126 NORTH 8 STREET,40.71924622,-73.95861248,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"8,176","27,230","124,280","31,751","137,941","169,692",264,878,"4,009","1,024","4,450","5,474"
bk-01-146015,bk,1,146015,219 GRAND STREET,40.71385109,-73.95953976,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",99.87%,"12,830","32,673","88,079","26,772","92,757","119,529",414,"1,054","2,841",864,"2,992","3,856"
bk-01-146016,bk,1,146016,28 NORTH 5 STREET,40.71906736,-73.96276535,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",98.79%,"10,841","32,735","95,315","37,709","121,422","159,130",350,"1,056","3,075","1,216","3,917","5,133"
bk-01-146017,bk,1,146017,45 NORTH 9 STREET,40.72138255,-73.96035235,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",97.85%,"9,784","23,012","64,777","23,140","72,986","96,127",316,742,"2,090",746,"2,354","3,101"
bk-01-146022,bk,1,146022,2 DEVOE STREET,40.71307988,-73.95128474,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"7,997","32,844","170,761","16,081","210,027","226,108",258,"1,059","5,508",519,"6,775","7,294"
bk-01-146041,bk,1,146041,43 NORTH 10 STREET,40.72194342,-73.95977484,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"8,715","17,974","46,878","11,810","57,518","69,328",281,580,"1,512",381,"1,855","2,236"
bk-01-146047,bk,1,146047,1 TEN EYCK STREET,40.70957163,-73.95070637,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"7,035","19,583","67,360","6,957","54,051","61,008",227,632,"2,173",224,"1,744","1,968"
bk-01-146050,bk,1,146050,2 POWERS STREET,40.71166636,-73.95102615,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"7,899","20,364","73,478","9,317","72,442","81,759",255,657,"2,370",301,"2,337","2,637"
bk-01-146081,bk,1,146081,458 UNION AVENUE,40.71419088,-73.95155241,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"33,021","122,706","284,464","43,550","212,700","256,250","1,065","3,958","9,176","1,405","6,861","8,266"
bk-01-146085,bk,1,146085,33 SOUTH 2 STREET,40.71470734,-73.96652497,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"1,268","2,159","5,956","1,041","5,662","6,703",317,540,"1,489",260,"1,415","1,676"
bk-02-108350,bk,2,108350,36 NEVINS STREET,40.68745727,-73.98192018,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"9,219","30,456","104,453","18,796","152,068","170,864",297,982,"3,369",606,"4,905","5,512"
bk-02-108355,bk,2,108355,98 BOND STREET,40.68681157,-73.98496961,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"20,211","52,248","110,180","12,487","62,219","74,706",652,"1,685","3,554",403,"2,007","2,410"
bk-02-125681,bk,2,125681,60 HENRY STREET,40.69934194,-73.99218679,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"12,321","40,753","244,935","69,577","332,368","401,946",397,"1,315","7,901","2,244","10,722","12,966"
bk-02-125682,bk,2,125682,106 HENRY STREET,40.69758777,-73.99302857,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"12,543","42,210","131,454","48,721","267,497","316,217",405,"1,362","4,240","1,572","8,629","10,201"
bk-02-125833,bk,2,125833,46 3 AVENUE,40.68521833,-73.98086659,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"22,928","65,180","236,438","33,124","200,816","233,941",740,"2,103","7,627","1,069","6,478","7,546"
bk-02-126016,bk,2,126016,348 ATLANTIC AVENUE,40.68759361,-73.98706811,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"18,967","40,985","102,778","17,451","120,194","137,645",612,"1,322","3,315",563,"3,877","4,440"
bk-02-126166,bk,2,126166,185 COURT STREET,40.6879008,-73.99314691,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"8,296","30,280","117,890","16,931","310,506","327,437",268,977,"3,803",546,"10,016","10,562"
bk-02-126247,bk,2,126247,280 CADMAN PLAZA WEST,40.69607044,-73.99126379,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"16,616","43,137","122,189","34,311","124,104","158,415",536,"1,392","3,942","1,107","4,003","5,110"
bk-02-126433,bk,2,126433,395 FLATBUSH AVENUE EXTENSION,40.689026,-73.980862,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",99.87%,"24,911","54,163","149,989","28,839","141,036","169,874",804,"1,747","4,838",930,"4,550","5,480"
bk-02-126505,bk,2,126505,171 FLATBUSH AVENUE,40.683625,-73.977006,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"49,147","134,561","340,471","36,455","224,163","260,618","1,585","4,341","10,983","1,176","7,231","8,407"
bk-02-126506,bk,2,126506,339 LIVINGSTON STREET,40.68764898,-73.98042355,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"24,789","53,359","150,281","18,444","141,321","159,765",800,"1,721","4,848",595,"4,559","5,154"
bk-02-126565,bk,2,126565,605 FULTON STREET,40.688851,-73.980613,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"30,789","82,889","276,319","38,180","366,949","405,129",993,"2,674","8,914","1,232","11,837","13,069"
bk-02-126628,bk,2,126628,691 FULTON STREET,40.68788961,-73.97820169,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"22,960","69,998","219,876","46,388","257,598","303,986",741,"2,258","7,093","1,496","8,310","9,806"
bk-02-126807,bk,2,126807,56 LAFAYETTE AVENUE,40.68696059,-73.97637079,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",99.87%,"27,696","93,551","273,912","65,037","369,759","434,795",893,"3,018","8,836","2,098","11,928","14,026"
bk-02-126838,bk,2,126838,275 LIVINGSTON STREET,40.68844943,-73.98247226,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",99.87%,"11,293","26,596","85,768","15,262","90,426","105,688",364,858,"2,767",492,"2,917","3,409"
bk-02-126839,bk,2,126839,340 LIVINGSTON STREET,40.68781362,-73.98128393,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"15,232","52,332","458,249","35,717","599,029","634,745",491,"1,688","14,782","1,152","19,324","20,476"
bk-02-126847,bk,2,126847,141 LIVINGSTON STREET,40.69059444,-73.9879984,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"24,754","70,711","263,723","30,880","285,752","316,632",799,"2,281","8,507",996,"9,218","10,214"
bk-02-127256,bk,2,127256,320 SCHERMERHORN STREET,40.68721034,-73.9817194,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",99.87%,"9,462","26,122","104,053","30,102","188,257","218,359",305,843,"3,357",971,"6,073","7,044"
bk-02-127278,bk,2,127278,126 SMITH STREET,40.6874966,-73.99002262,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"14,123","54,167","194,054","50,959","293,007","343,966",456,"1,747","6,260","1,644","9,452","11,096"
bk-02-132668,bk,2,132668,979 FULTON STREET,40.682932,-73.963959,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",99.87%,"12,006","49,147","166,542","34,554","185,391","219,945",387,"1,585","5,372","1,115","5,980","7,095"
bk-02-134976,bk,2,134976,248 DUFFIELD STREET,40.690588,-73.984481,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",99.87%,"22,076","68,340","273,858","49,529","370,082","419,610",712,"2,205","8,834","1,598","11,938","13,536"
bk-02-135003,bk,2,135003,156 LAWRENCE STREET,40.69123398,-73.98638427,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"31,812","155,822","447,651","100,313","404,778","505,091","1,026","5,027","14,440","3,236","13,057","16,293"
bk-02-142293,bk,2,142293,36 BOND STREET,40.6886723,-73.98371008,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"24,180","81,587","303,936","62,837","483,332","546,170",780,"2,632","9,804","2,027","15,591","17,618"
bk-02-145747,bk,2,145747,907 FULTON STREET,40.683591,-73.967093,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"12,493","42,754","142,696","33,104","237,287","270,391",403,"1,379","4,603","1,068","7,654","8,722"
bk-02-145752,bk,2,145752,710 FULTON STREET,40.685787,-73.97332,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",99.87%,"21,755","81,308","237,220","54,337","439,473","493,811",702,"2,623","7,652","1,753","14,177","15,929"
bk-02-145753,bk,2,145753,770 FULTON STREET,40.68454905,-73.97022462,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",62.42%,"8,955","25,884","310,290","6,695","51,812","58,506",289,835,"10,009",216,"1,671","1,887"
bk-02-145793,bk,2,145793,464 GRAND AVENUE,40.68219957,-73.9616482,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"11,226","43,534","109,534","17,324","114,266","131,591",362,"1,404","3,533",559,"3,686","4,245"
bk-02-145810,bk,2,145810,79 HENRY STREET,40.69828038,-73.9925546,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",99.87%,"7,489","25,778","86,613","24,165","125,181","149,347",242,832,"2,794",780,"4,038","4,818"
bk-02-145811,bk,2,145811,322 LIVINGSTON STREET,40.68803876,-73.98187215,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"8,963","26,190","135,488","16,478","136,437","152,915",289,845,"4,371",532,"4,401","4,933"
bk-02-145812,bk,2,145812,957 FULTON STREET,40.68307692,-73.96463345,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"14,898","64,079","145,877","30,807","145,734","176,542",481,"2,067","4,706",994,"4,701","5,695"
bk-02-145868,bk,2,145868,470 VANDERBILT AVENUE,40.68226753,-73.96775318,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",99.87%,"17,055","51,041","115,535","6,780","49,708","56,488",550,"1,646","3,727",219,"1,603","1,822"
bk-02-145877,bk,2,145877,219 COURT STREET,40.68657135,-73.99378509,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"8,789","38,669","90,553","10,017","68,102","78,119",284,"1,247","2,921",323,"2,197","2,520"
bk-02-145904,bk,2,145904,71 WYCKOFF STREET,40.686177,-73.991014,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",99.87%,"10,919","34,221","100,586","28,133","124,431","152,564",352,"1,104","3,245",908,"4,014","4,921"
bk-02-145910,bk,2,145910,66 SMITH STREET,40.68940822,-73.9887287,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"12,419","27,371","62,637","11,215","67,634","78,849",401,883,"2,021",362,"2,182","2,544"
bk-03-126638,bk,3,126638,2208 FULTON STREET,40.678079,-73.908374,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",99.87%,"9,150","47,360","285,311","58,588","669,706","728,294",295,"1,528","9,204","1,890","21,603","23,493"
bk-03-126644,bk,3,126644,1803 FULTON STREET,40.679232,-73.927098,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"11,846","45,485","217,810","28,006","265,129","293,134",382,"1,467","7,026",903,"8,553","9,456"
bk-03-126646,bk,3,126646,1874 FULTON STREET,40.67896,-73.924424,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"9,753","47,773","288,946","35,812","416,889","452,701",315,"1,541","9,321","1,155","13,448","14,603"
bk-03-126647,bk,3,126647,1961 FULTON STREET,40.678654,-73.916507,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"11,498","36,468","113,347","21,193","192,008","213,200",371,"1,176","3,656",684,"6,194","6,877"
bk-03-127093,bk,3,127093,1805 FULTON STREET,40.679143,-73.925474,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",99.87%,"10,763","36,664","229,497","36,801","214,954","251,755",347,"1,183","7,403","1,187","6,934","8,121"
bk-03-145739,bk,3,145739,1245 FULTON STREET,40.680556,-73.951381,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",99.87%,"16,606","80,265","342,505","65,039","439,698","504,736",536,"2,589","11,049","2,098","14,184","16,282"
bk-03-145748,bk,3,145748,549 CLASSON AVENUE,40.681853,-73.958535,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"11,089","49,923","288,842","75,705","497,852","573,557",358,"1,610","9,317","2,442","16,060","18,502"
bk-03-145749,bk,3,145749,1628 FULTON STREET,40.67956068,-73.93549973,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"15,182","42,873","111,437","22,290","186,040","208,330",490,"1,383","3,595",719,"6,001","6,720"
bk-03-145750,bk,3,145750,560 FRANKLIN AVENUE,40.679506,-73.955431,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",99.87%,"22,970","58,307","181,654","31,434","399,690","431,124",741,"1,881","5,860","1,014","12,893","13,907"
bk-03-145756,bk,3,145756,1407 FULTON STREET,40.68019738,-73.94490293,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",99.19%,"10,223","41,792","214,004","42,000","579,998","621,997",330,"1,348","6,903","1,355","18,710","20,064"
bk-03-145757,bk,3,145757,1473 FULTON STREET,40.680059,-73.94226,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"10,762","57,563","161,839","21,909","197,374","219,283",347,"1,857","5,221",707,"6,367","7,074"
bk-03-145759,bk,3,145759,1546 FULTON STREET,40.67975193,-73.93910101,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"13,998","54,966","300,095","41,523","297,594","339,118",452,"1,773","9,680","1,339","9,600","10,939"
bk-03-145760,bk,3,145760,1591 FULTON STREET,40.67981536,-73.937627,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",99.87%,"15,043","50,566","144,979","30,294","219,749","250,043",485,"1,631","4,677",977,"7,089","8,066"
bk-03-145784,bk,3,145784,1139 FULTON STREET,40.68131525,-73.95620126,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",99.87%,"12,695","94,858","297,767","30,953","396,511","427,464",410,"3,060","9,605",998,"12,791","13,789"
bk-03-145796,bk,3,145796,540 FRANKLIN AVENUE,40.68095126,-73.95570356,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",99.87%,"19,033","70,761","223,291","45,034","331,315","376,349",614,"2,283","7,203","1,453","10,688","12,140"
bk-03-145808,bk,3,145808,1422 FULTON STREET,40.680015,-73.943843,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"12,800","41,911","199,741","16,534","148,302","164,837",413,"1,352","6,443",533,"4,784","5,317"
bk-03-145815,bk,3,145815,1373 FULTON STREET,40.68027266,-73.94615493,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"15,847","59,162","199,482","48,736","274,220","322,956",511,"1,908","6,435","1,572","8,846","10,418"
bk-03-145816,bk,3,145816,1741 FULTON STREET,40.679381,-73.929834,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"20,442","90,814","274,903","36,326","311,384","347,711",659,"2,929","8,868","1,172","10,045","11,216"
bk-03-145817,bk,3,145817,293 RALPH AVENUE,40.679015,-73.921802,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",99.87%,"14,451","64,308","341,090","45,538","481,988","527,526",466,"2,074","11,003","1,469","15,548","17,017"
bk-03-145830,bk,3,145830,517 NOSTRAND AVENUE,40.67948543,-73.9495225,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",99.87%,"12,558","40,859","110,267","15,664","88,482","104,146",405,"1,318","3,557",505,"2,854","3,360"
bk-03-145837,bk,3,145837,505 NOSTRAND AVENUE,40.679987,-73.949473,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",95.97%,"41,293","131,415","349,472","48,686","258,224","306,910","1,332","4,239","11,273","1,571","8,330","9,900"
