Census Tract,FIPS Code,Formatted FIPS,Estimated number of households without broadband internet such a
"36085018901, NY",36085018901,36085018901,383
"36085017009, NY",36085017009,36085017009,307
"36081127700, NY",36081127700,36081127700,174
"36081134700, NY",36081134700,36081134700,849
"36081029400, NY",36081029400,36081029400,1227
"36081093401, NY",36081093401,36081093401,373
"36081032000, NY",36081032000,36081032000,359
"36061031100, NY",36061031100,36061031100,0
"36081138501, NY",36081138501,36081138501,244
"36081152902, NY",36081152902,36081152902,566
"36061025500, NY",36061025500,36061025500,810
"36085013204, NY",36085013204,36085013204,558
"36047062800, NY",36047062800,36047062800,515
"36085017008, NY",36085017008,36085017008,401
"36081121100, NY",36081121100,36081121100,0
"36005006300, NY",36005006300,36005006300,666
"36005029301, NY",36005029301,36005029301,143
"36085013203, NY",36085013203,36085013203,361
"36085008100, NY",36085008100,36085008100,697
"36085018702, NY",36085018702,36085018702,529
"36085027302, NY",36085027302,36085027302,272
"36081101001, NY",36081101001,36081101001,1633
"36081080900, NY",36081080900,36081080900,618
"36081129102, NY",36081129102,36081129102,139
"36085015100, NY",36085015100,36085015100,458
"36085017012, NY",36085017012,36085017012,289
"36081101700, NY",36081101700,36081101700,657
"36085031902, NY",36085031902,36085031902,764
"36085007400, NY",36085007400,36085007400,443
"36005046202, NY",36005046202,36005046202,875
"36081099701, NY",36081099701,36081099701,347
"36081100801, NY",36081100801,36081100801,86
"36085006700, NY",36085006700,36085006700,204
"36061029900, NY",36061029900,36061029900,676
"36005002400, NY",36005002400,36005002400,0
"36081157901, NY",36081157901,36081157901,365
"36081147900, NY",36081147900,36081147900,374
"36047015400, NY",36047015400,36047015400,0
"36085030302, NY",36085030302,36085030302,458
"36081099200, NY",36081099200,36081099200,482
"36081044400, NY",36081044400,36081044400,346
"36081111300, NY",36081111300,36081111300,123
"36081141700, NY",36081141700,36081141700,341
"36085004700, NY",36085004700,36085004700,256
"36047103400, NY",36047103400,36047103400,467
"36081001900, NY",36081001900,36081001900,122
"36005019400, NY",36005019400,36005019400,226
"36085014605, NY",36085014605,36085014605,250
"36081150701, NY",36081150701,36081150701,123
"36081103900, NY",36081103900,36081103900,410
"36085015602, NY",36085015602,36085015602,174
"36061004400, NY",36061004400,36061004400,1603
"36081079300, NY",36081079300,36081079300,0
"36081150702, NY",36081150702,36081150702,265
"36081093402, NY",36081093402,36081093402,425
"36047069602, NY",36047069602,36047069602,381
"36047109800, NY",36047109800,36047109800,181
"36085003300, NY",36085003300,36085003300,380
"36081056800, NY",36081056800,36081056800,262
"36085013400, NY",36085013400,36085013400,303
"36085013302, NY",36085013302,36085013302,332
"36005045600, NY",36005045600,36005045600,281
"36081104700, NY",36081104700,36081104700,858
"36085005000, NY",36085005000,36085005000,373
"36061013500, NY",36061013500,36061013500,1144
"36085012200, NY",36085012200,36085012200,252
"36081091900, NY",36081091900,36081091900,514
"36081033000, NY",36081033000,36081033000,787
"36085010500, NY",36085010500,36085010500,586
"36061012900, NY",36061012900,36061012900,330
"36081065501, NY",36081065501,36081065501,0
"36047030400, NY",36047030400,36047030400,516
"36061023801, NY",36061023801,36061023801,751
"36047004600, NY",36047004600,36047004600,119
"36081028800, NY",36081028800,36081028800,603
"36085000800, NY",36085000800,36085000800,500
"36085016901, NY",36085016901,36085016901,243
"36085002002, NY",36085002002,36085002002,326
"36085018902, NY",36085018902,36085018902,458
"36047105804, NY",36047105804,36047105804,1327
"36061007900, NY",36061007900,36061007900,365
"36061003900, NY",36061003900,36061003900,466
"36085021300, NY",36085021300,36085021300,530
"36047057900, NY",36047057900,36047057900,130
"36061000202, NY",36061000202,36061000202,1573
"36081126700, NY",36081126700,36081126700,149
"36081083700, NY",36081083700,36081083700,434
"36047118000, NY",36047118000,36047118000,0
"36085009601, NY",36085009601,36085009601,416
"36081136700, NY",36081136700,36081136700,624
"36081068000, NY",36081068000,36081068000,510
"36047005000, NY",36047005000,36047005000,104
"36081037600, NY",36081037600,36081037600,675
"36061000900, NY",36061000900,36061000900,91
"36081033402, NY",36081033402,36081033402,2219
"36081137700, NY",36081137700,36081137700,509
"36047110400, NY",36047110400,36047110400,577
"36085012100, NY",36085012100,36085012100,252
"36005029600, NY",36005029600,36005029600,137
"36081084602, NY",36081084602,36081084602,16
"36081157902, NY",36081157902,36081157902,193
"36047011900, NY",36047011900,36047011900,124
"36085017011, NY",36085017011,36085017011,347
"36061031703, NY",36061031703,36061031703,125
