Census Tract,FIPS Code,Formatted FIPS,Estimated number of households without broadband internet such a
"36047072600, NY",36047072600,36047072600,79
"36081049302, NY",36081049302,36081049302,190
"36047051900, NY",36047051900,36047051900,391
"36081008500, NY",36081008500,36081008500,80
"36005034500, NY",36005034500,36005034500,444
"36081049600, NY",36081049600,36081049600,224
"36081094700, NY",36081094700,36081094700,268
"36081008700, NY",36081008700,36081008700,706
"36081024500, NY",36081024500,36081024500,348
"36005041800, NY",36005041800,36005041800,568
"36081024000, NY",36081024000,36081024000,728
"36005032400, NY",36005032400,36005032400,344
"36047019300, NY",36047019300,36047019300,720
"36081077903, NY",36081077903,36081077903,323
"36047013400, NY",36047013400,36047013400,376
"36005036000, NY",36005036000,36005036000,290
"36081065703, NY",36081065703,36081065703,251
"36005028500, NY",36005028500,36005028500,447
"36047016600, NY",36047016600,36047016600,164
"36047015200, NY",36047015200,36047015200,118
"36005027900, NY",36005027900,36005027900,722
"36061018900, NY",36061018900,36061018900,1918
"36047030700, NY",36047030700,36047030700,1304
"36005007100, NY",36005007100,36005007100,302
"36081062100, NY",36081062100,36081062100,236
"36005004400, NY",36005004400,36005004400,644
"36081068700, NY",36081068700,36081068700,441
"36005006500, NY",36005006500,36005006500,833
"36081061200, NY",36081061200,36081061200,75
"36047055500, NY",36047055500,36047055500,266
"36047027100, NY",36047027100,36047027100,451
"36047057000, NY",36047057000,36047057000,335
"36081004401, NY",36081004401,36081004401,223
"36061002000, NY",36061002000,36061002000,1276
"36081029100, NY",36081029100,36081029100,662
"36081079000, NY",36081079000,36081079000,332
"36081023500, NY",36081023500,36081023500,795
"36081053401, NY",36081053401,36081053401,133
"36047036300, NY",36047036300,36047036300,630
"36047051300, NY",36047051300,36047051300,361
"36081061400, NY",36081061400,36081061400,99
"36047016000, NY",36047016000,36047016000,334
"36081061900, NY",36081061900,36081061900,363
"36047072200, NY",36047072200,36047072200,283
"36047017400, NY",36047017400,36047017400,147
"36081018200, NY",36081018200,36081018200,338
"36047029400, NY",36047029400,36047029400,182
"36081026400, NY",36081026400,36081026400,346
"36081063900, NY",36081063900,36081063900,419
"36047030300, NY",36047030300,36047030300,779
"36061010601, NY",36061010601,36061010601,725
"36081066701, NY",36081066701,36081066701,279
"36081067900, NY",36081067900,36081067900,426
"36081145101, NY",36081145101,36081145101,55
"36081116300, NY",36081116300,36081116300,1265
"36081059300, NY",36081059300,36081059300,376
"36047097400, NY",36047097400,36047097400,160
"36081113300, NY",36081113300,36081113300,123
"36081051700, NY",36081051700,36081051700,168
"36047056500, NY",36047056500,36047056500,383
"36047092400, NY",36047092400,36047092400,380
"36047006500, NY",36047006500,36047006500,359
"36081046200, NY",36081046200,36081046200,753
"36047015900, NY",36047015900,36047015900,376
"36047038600, NY",36047038600,36047038600,325
"36005042100, NY",36005042100,36005042100,556
"36047019100, NY",36047019100,36047019100,188
"36085002700, NY",36085002700,36085002700,236
"36047089000, NY",36047089000,36047089000,881
"36085007700, NY",36085007700,36085007700,178
"36047014900, NY",36047014900,36047014900,351
"36047090000, NY",36047090000,36047090000,871
"36081068300, NY",36081068300,36081068300,275
"36081037300, NY",36081037300,36081037300,213
"36081045800, NY",36081045800,36081045800,178
"36047008500, NY",36047008500,36047008500,1653
"36005006100, NY",36005006100,36005006100,969
"36081018700, NY",36081018700,36081018700,349
"36047057200, NY",36047057200,36047057200,1117
"36061002100, NY",36061002100,36061002100,292
"36005016100, NY",36005016100,36005016100,820
"36081061800, NY",36081061800,36081061800,270
"36005029700, NY",36005029700,36005029700,442
"36047095000, NY",36047095000,36047095000,209
"36061002500, NY",36061002500,36061002500,1239
"36005045800, NY",36005045800,36005045800,767
"36047016200, NY",36047016200,36047016200,216
"36081070300, NY",36081070300,36081070300,218
"36047022700, NY",36047022700,36047022700,398
"36081140901, NY",36081140901,36081140901,31
"36005044200, NY",36005044200,36005044200,547
"36005037504, NY",36005037504,36005037504,511
"36005024000, NY",36005024000,36005024000,344
"36005019300, NY",36005019300,36005019300,1267
"36047038100, NY",36047038100,36047038100,869
"36081046600, NY",36081046600,36081046600,367
"36005028300, NY",36005028300,36005028300,515
"36047028200, NY",36047028200,36047028200,252
"36081055700, NY",36081055700,36081055700,318
"36061012400, NY",36061012400,36061012400,773
"36081025100, NY",36081025100,36081025100,416
"36081046400, NY",36081046400,36081046400,98
"36081061000, NY",36081061000,36081061000,142
"36047095600, NY",36047095600,36047095600,226
"36047008400, NY",36047008400,36047008400,446
"36047061200, NY",36047061200,36047061200,105
"36061019701, NY",36061019701,36061019701,53
"36047095400, NY",36047095400,36047095400,300
"36047028600, NY",36047028600,36047028600,791
"36047092000, NY",36047092000,36047092000,430
"36081043200, NY",36081043200,36081043200,148
"36047064200, NY",36047064200,36047064200,219
"36005029500, NY",36005029500,36005029500,479
"36005015300, NY",36005015300,36005015300,763
"36047095800, NY",36047095800,36047095800,376
"36005022000, NY",36005022000,36005022000,364
"36005013100, NY",36005013100,36005013100,643
"36081021200, NY",36081021200,36081021200,229
"36047038200, NY",36047038200,36047038200,838
"36047050400, NY",36047050400,36047050400,313
"36047032800, NY",36047032800,36047032800,322
"36047055100, NY",36047055100,36047055100,526
"36047036600, NY",36047036600,36047036600,504
"36081068200, NY",36081068200,36081068200,127
"36085000900, NY",36085000900,36085000900,215
"36047066200, NY",36047066200,36047066200,188
"36081048000, NY",36081048000,36081048000,164
"36081053000, NY",36081053000,36081053000,201
"36081016900, NY",36081016900,36081016900,615
"36081046800, NY",36081046800,36081046800,323
"36081047000, NY",36081047000,36081047000,299
"36081045400, NY",36081045400,36081045400,361
"36081067100, NY",36081067100,36081067100,158
"36047034200, NY",36047034200,36047034200,1438
"36005007500, NY",36005007500,36005007500,801
"36047049300, NY",36047049300,36047049300,1210
"36081036800, NY",36081036800,36081036800,253
"36081001200, NY",36081001200,36081001200,269
"36081055600, NY",36081055600,36081055600,89
"36047042200, NY",36047042200,36047042200,285
"36047036900, NY",36047036900,36047036900,811
"36081133900, NY",36081133900,36081133900,65
"36081048200, NY",36081048200,36081048200,134
"36005004300, NY",36005004300,36005004300,866
"36061019800, NY",36061019800,36061019800,386
"36061013700, NY",36061013700,36061013700,457
"36047012600, NY",36047012600,36047012600,200
"36047023200, NY",36047023200,36047023200,901
"36047045000, NY",36047045000,36047045000,48
"36047119200, NY",36047119200,36047119200,426
"36081048300, NY",36081048300,36081048300,206
"36081054800, NY",36081054800,36081054800,176
"36081051500, NY",36081051500,36081051500,275
"36081073900, NY",36081073900,36081073900,423
"36081077500, NY",36081077500,36081077500,216
"36081000400, NY",36081000400,36081000400,352
"36047037401, NY",36047037401,36047037401,509
"36005040600, NY",36005040600,36005040600,483
"36005039600, NY",36005039600,36005039600,574
"36081044601, NY",36081044601,36081044601,667
"36005036300, NY",36005036300,36005036300,1027
"36081005700, NY",36081005700,36081005700,373
"36047061004, NY",36047061004,36047061004,1438
"36047000100, NY",36047000100,36047000100,469
"36081010000, NY",36081010000,36081010000,146
"36081014000, NY",36081014000,36081014000,354
"36081019600, NY",36081019600,36081019600,286
"36061001800, NY",36061001800,36061001800,1198
"36081002800, NY",36081002800,36081002800,236
"36081026100, NY",36081026100,36081026100,654
"36005022200, NY",36005022200,36005022200,383
"36081014400, NY",36081014400,36081014400,184
"36081059400, NY",36081059400,36081059400,120
"36047079400, NY",36047079400,36047079400,231
"36081070700, NY",36081070700,36081070700,202
"36081046000, NY",36081046000,36081046000,757
"36081004500, NY",36081004500,36081004500,375
"36047047800, NY",36047047800,36047047800,708
"36005019500, NY",36005019500,36005019500,1217
"36081055400, NY",36081055400,36081055400,234
"36081017000, NY",36081017000,36081017000,162
"36047029800, NY",36047029800,36047029800,378
"36081050800, NY",36081050800,36081050800,227
"36047047700, NY",36047047700,36047047700,283
"36081025500, NY",36081025500,36081025500,159
"36081070900, NY",36081070900,36081070900,155
"36047011800, NY",36047011800,36047011800,165
"36047059200, NY",36047059200,36047059200,416
"36081016300, NY",36081016300,36081016300,774
"36047044800, NY",36047044800,36047044800,225
"36081040200, NY",36081040200,36081040200,139
"36047014500, NY",36047014500,36047014500,291
"36081119100, NY",36081119100,36081119100,295
"36081018900, NY",36081018900,36081018900,249
"36005007600, NY",36005007600,36005007600,631
"36061003200, NY",36061003200,36061003200,2050
"36047014300, NY",36047014300,36047014300,232
"36005003900, NY",36005003900,36005003900,827
"36047017600, NY",36047017600,36047017600,162
"36005040400, NY",36005040400,36005040400,453
"36005038000, NY",36005038000,36005038000,663
"36047079200, NY",36047079200,36047079200,454
"36081050400, NY",36081050400,36081050400,216
"36081069500, NY",36081069500,36081069500,176
"36005043100, NY",36005043100,36005043100,1438
"36047013600, NY",36047013600,36047013600,254
"36081062000, NY",36081062000,36081062000,202
"36047091600, NY",36047091600,36047091600,713
"36081060600, NY",36081060600,36081060600,91
"36047000301, NY",36047000301,36047000301,255
"36081071702, NY",36081071702,36081071702,472
"36005008300, NY",36005008300,36005008300,591
"36081056000, NY",36081056000,36081056000,132
"36081018300, NY",36081018300,36081018300,614
"36005027300, NY",36005027300,36005027300,831
"36005008700, NY",36005008700,36005008700,645
"36081000600, NY",36081000600,36081000600,176
"36081045200, NY",36081045200,36081045200,21
"36047082400, NY",36047082400,36047082400,459
"36081003400, NY",36081003400,36081003400,145
"36081010200, NY",36081010200,36081010200,151
"36081027300, NY",36081027300,36081027300,675
"36047029600, NY",36047029600,36047029600,535
"36081077907, NY",36081077907,36081077907,221
"36005007200, NY",36005007200,36005007200,645
"36081011700, NY",36081011700,36081011700,357
"36061024500, NY",36061024500,36061024500,1882
"36081001400, NY",36081001400,36081001400,212
"36005006700, NY",36005006700,36005006700,1319
"36047049100, NY",36047049100,36047049100,891
"36061018000, NY",36061018000,36061018000,1151
"36081006300, NY",36081006300,36081006300,458
"36047117400, NY",36047117400,36047117400,171
"36081018402, NY",36081018402,36081018402,266
"36047019000, NY",36047019000,36047019000,387
"36081040100, NY",36081040100,36081040100,683
"36081025800, NY",36081025800,36081025800,164
"36047091000, NY",36047091000,36047091000,1486
"36047072800, NY",36047072800,36047072800,463
"36081006900, NY",36081006900,36081006900,368
"36081119300, NY",36081119300,36081119300,149
"36081060800, NY",36081060800,36081060800,134
"36081016800, NY",36081016800,36081016800,186
"36005031400, NY",36005031400,36005031400,178
"36081073700, NY",36081073700,36081073700,229
"36081026700, NY",36081026700,36081026700,652
"36047030200, NY",36047030200,36047030200,444
"36005015100, NY",36005015100,36005015100,581
"36047040300, NY",36047040300,36047040300,524
"36081015600, NY",36081015600,36081015600,175
"36047091800, NY",36047091800,36047091800,277
"36005016700, NY",36005016700,36005016700,369
"36047016900, NY",36047016900,36047016900,406
"36005025100, NY",36005025100,36005025100,853
"36047048400, NY",36047048400,36047048400,613
"36047017000, NY",36047017000,36047017000,305
"36081014201, NY",36081014201,36081014201,315
"36061001600, NY",36061001600,36061001600,1179
"36005045102, NY",36005045102,36005045102,314
"36047017100, NY",36047017100,36047017100,220
"36081019800, NY",36081019800,36081019800,259
"36047083600, NY",36047083600,36047083600,281
"36047067000, NY",36047067000,36047067000,291
"36061004900, NY",36061004900,36061004900,339
"36005043000, NY",36005043000,36005043000,272
"36005039100, NY",36005039100,36005039100,1000
"36005033000, NY",36005033000,36005033000,720
"36047047600, NY",36047047600,36047047600,615
"36081059800, NY",36081059800,36081059800,194
"36081009600, NY",36081009600,36081009600,289
"36081050600, NY",36081050600,36081050600,192
"36081012200, NY",36081012200,36081012200,256
"36081044800, NY",36081044800,36081044800,184
"36047017200, NY",36047017200,36047017200,241
"36005007000, NY",36005007000,36005007000,392
"36005032800, NY",36005032800,36005032800,629
"36061003100, NY",36061003100,36061003100,128
"36047029700, NY",36047029700,36047029700,536
"36081043400, NY",36081043400,36081043400,176
"36047118400, NY",36047118400,36047118400,402
"36061016500, NY",36061016500,36061016500,682
"36047075800, NY",36047075800,36047075800,195
"36047049800, NY",36047049800,36047049800,355
"36005031200, NY",36005031200,36005031200,151
"36081071701, NY",36081071701,36081071701,837
"36005036400, NY",36005036400,36005036400,334
"36005039800, NY",36005039800,36005039800,319
"36047088200, NY",36047088200,36047088200,788
"36047006400, NY",36047006400,36047006400,360
"36081118900, NY",36081118900,36081118900,177
"36047049600, NY",36047049600,36047049600,377
"36081120500, NY",36081120500,36081120500,558
"36061003800, NY",36061003800,36061003800,1671
"36061016800, NY",36061016800,36061016800,685
"36047011700, NY",36047011700,36047011700,280
"36047039800, NY",36047039800,36047039800,272
"36081009700, NY",36081009700,36081009700,145
"36081052500, NY",36081052500,36081052500,172
"36081059100, NY",36081059100,36081059100,561
"36081016600, NY",36081016600,36081016600,264
"36081013700, NY",36081013700,36081013700,146
"36047068200, NY",36047068200,36047068200,240
"36081077908, NY",36081077908,36081077908,280
"36047083000, NY",36047083000,36047083000,444
"36047070000, NY",36047070000,36047070000,241
"36081126500, NY",36081126500,36081126500,176
"36081039800, NY",36081039800,36081039800,150
"36061006500, NY",36061006500,36061006500,796
"36047014200, NY",36047014200,36047014200,405
"36047044000, NY",36047044000,36047044000,294
"36047051800, NY",36047051800,36047051800,426
"36005026500, NY",36005026500,36005026500,905
"36047074600, NY",36047074600,36047074600,137
"36005005400, NY",36005005400,36005005400,765
"36081040700, NY",36081040700,36081040700,826
"36081040300, NY",36081040300,36081040300,452
"36081004200, NY",36081004200,36081004200,256
"36081016400, NY",36081016400,36081016400,159
"36047043900, NY",36047043900,36047043900,714
"36047088800, NY",36047088800,36047088800,420
"36047026100, NY",36047026100,36047026100,789
"36005028900, NY",36005028900,36005028900,580
"36081018401, NY",36081018401,36081018401,220
"36005037100, NY",36005037100,36005037100,838
"36081019200, NY",36081019200,36081019200,174
"36081026300, NY",36081026300,36081026300,280
"36047064400, NY",36047064400,36047064400,84
"36081062500, NY",36081062500,36081062500,174
"36047082600, NY",36047082600,36047082600,744
"36005007900, NY",36005007900,36005007900,847
"36047059800, NY",36047059800,36047059800,295
"36081049700, NY",36081049700,36081049700,156
"36081010500, NY",36081010500,36081010500,442
"36047050000, NY",36047050000,36047050000,286
"36047113200, NY",36047113200,36047113200,171
"36047033700, NY",36047033700,36047033700,282
"36081075701, NY",36081075701,36081075701,694
"36061009200, NY",36061009200,36061009200,122
"36047038800, NY",36047038800,36047038800,326
"36047040200, NY",36047040200,36047040200,294
"36081005300, NY",36081005300,36081005300,542
"36081037900, NY",36081037900,36081037900,508
"36081028700, NY",36081028700,36081028700,558
"36081002500, NY",36081002500,36081002500,1483
"36081052400, NY",36081052400,36081052400,239
"36081040000, NY",36081040000,36081040000,155
"36081036700, NY",36081036700,36081036700,176
"36047046000, NY",36047046000,36047046000,277
"36047090600, NY",36047090600,36047090600,810
"36081007100, NY",36081007100,36081007100,283
"36047035000, NY",36047035000,36047035000,574
"36081118100, NY",36081118100,36081118100,130
"36081085300, NY",36081085300,36081085300,702
"36081006100, NY",36081006100,36081006100,577
"36047048200, NY",36047048200,36047048200,693
"36061022400, NY",36061022400,36061022400,1324
"36047054900, NY",36047054900,36047054900,362
"36081012400, NY",36081012400,36081012400,191
"36061010602, NY",36061010602,36061010602,438
"36047028000, NY",36047028000,36047028000,183
"36081059600, NY",36081059600,36081059600,122
"36081024900, NY",36081024900,36081024900,389
"36047030000, NY",36047030000,36047030000,317
"36047030100, NY",36047030100,36047030100,503
"36081056600, NY",36081056600,36081056600,69
"36081065900, NY",36081065900,36081065900,146
"36047093000, NY",36047093000,36047093000,304
"36047022000, NY",36047022000,36047022000,939
"36047053300, NY",36047053300,36047053300,1522
"36047113000, NY",36047113000,36047113000,464
"36005006200, NY",36005006200,36005006200,1232
"36081051300, NY",36081051300,36081051300,188
"36081074300, NY",36081074300,36081074300,435
"36061027100, NY",36061027100,36061027100,702
"36081072900, NY",36081072900,36081072900,87
"36005021001, NY",36005021001,36005021001,1191
"36005037900, NY",36005037900,36005037900,622
"36047030600, NY",36047030600,36047030600,189
"36081055800, NY",36081055800,36081055800,55
"36047005800, NY",36047005800,36047005800,479
"36005028600, NY",36005028600,36005028600,130
"36081078800, NY",36081078800,36081078800,160
"36047055600, NY",36047055600,36047055600,289
"36005035000, NY",36005035000,36005035000,243
"36047012000, NY",36047012000,36047012000,94
"36081017200, NY",36081017200,36081017200,132
"36081013200, NY",36081013200,36081013200,138
"36081009100, NY",36081009100,36081009100,280
"36047021100, NY",36047021100,36047021100,180
"36047049000, NY",36047049000,36047049000,381
"36081017400, NY",36081017400,36081017400,171
"36005038500, NY",36005038500,36005038500,766
"36047072400, NY",36047072400,36047072400,157
"36081017600, NY",36081017600,36081017600,134
"36081008300, NY",36081008300,36081008300,277
"36061004100, NY",36061004100,36061004100,1284
"36005025200, NY",36005025200,36005025200,354
"36047039400, NY",36047039400,36047039400,268
"36047040000, NY",36047040000,36047040000,298
"36061026500, NY",36061026500,36061026500,666
"36081063000, NY",36081063000,36081063000,185
"36047024200, NY",36047024200,36047024200,424
"36047012200, NY",36047012200,36047012200,594
"36081053601, NY",36081053601,36081053601,119
"36047059100, NY",36047059100,36047059100,416
"36047052700, NY",36047052700,36047052700,1091
"36081052100, NY",36081052100,36081052100,129
"36081013000, NY",36081013000,36081013000,99
"36081005900, NY",36081005900,36081005900,375
"36081017800, NY",36081017800,36081017800,144
"36047021200, NY",36047021200,36047021200,427
"36047090200, NY",36047090200,36047090200,361
"36047052000, NY",36047052000,36047052000,367
"36047037700, NY",36047037700,36047037700,588
"36005025600, NY",36005025600,36005025600,210
"36081073100, NY",36081073100,36081073100,100
"36081015200, NY",36081015200,36081015200,229
"36081053200, NY",36081053200,36081053200,200
"36081000800, NY",36081000800,36081000800,156
"36081063500, NY",36081063500,36081063500,220
"36081119500, NY",36081119500,36081119500,68
"36047039300, NY",36047039300,36047039300,705
"36047080400, NY",36047080400,36047080400,468
"36047054400, NY",36047054400,36047054400,497
"36047019200, NY",36047019200,36047019200,299
"36081011200, NY",36081011200,36081011200,228
"36047099600, NY",36047099600,36047099600,142
"36081053800, NY",36081053800,36081053800,66
"36047037100, NY",36047037100,36047037100,609
"36061029100, NY",36061029100,36061029100,1538
"36047008800, NY",36047008800,36047008800,293
"36081013400, NY",36081013400,36081013400,666
"36047026400, NY",36047026400,36047026400,375
"36047019900, NY",36047019900,36047019900,349
"36047067400, NY",36047067400,36047067400,111
"36047054200, NY",36047054200,36047054200,615
"36005006900, NY",36005006900,36005006900,972
"36005016500, NY",36005016500,36005016500,129
"36081056400, NY",36081056400,36081056400,141
"36081084500, NY",36081084500,36081084500,1138
"36005008600, NY",36005008600,36005008600,725
"36047059300, NY",36047059300,36047059300,244
"36047038700, NY",36047038700,36047038700,704
"36081019000, NY",36081019000,36081019000,186
"36047019600, NY",36047019600,36047019600,509
"36005007400, NY",36005007400,36005007400,392
"36081115500, NY",36081115500,36081115500,240
"36047058400, NY",36047058400,36047058400,407
"36047076200, NY",36047076200,36047076200,554
"36081118700, NY",36081118700,36081118700,326
"36005037200, NY",36005037200,36005037200,216
"36047051700, NY",36047051700,36047051700,193
"36047057500, NY",36047057500,36047057500,499
"36081025900, NY",36081025900,36081025900,291
"36081026500, NY",36081026500,36081026500,305
"36047051500, NY",36047051500,36047051500,111
"36081010400, NY",36081010400,36081010400,213
"36081057700, NY",36081057700,36081057700,371
"36047016500, NY",36047016500,36047016500,317
"36081043702, NY",36081043702,36081043702,565
"36047077600, NY",36047077600,36047077600,420
"36047033300, NY",36047033300,36047033300,438
"36081067700, NY",36081067700,36081067700,98
"36081011500, NY",36081011500,36081011500,168
"36047045200, NY",36047045200,36047045200,298
"36005004100, NY",36005004100,36005004100,991
"36005033600, NY",36005033600,36005033600,1170
"36081027000, NY",36081027000,36081027000,87
"36047006800, NY",36047006800,36047006800,487
"36047080200, NY",36047080200,36047080200,753
"36081051000, NY",36081051000,36081051000,163
"36047036700, NY",36047036700,36047036700,251
"36081119900, NY",36081119900,36081119900,140
"36081051600, NY",36081051600,36081051600,119
"36047073000, NY",36047073000,36047073000,172
"36081120300, NY",36081120300,36081120300,43
"36047056000, NY",36047056000,36047056000,358
"36005038700, NY",36005038700,36005038700,485
"36061012600, NY",36061012600,36061012600,969
"36047112800, NY",36047112800,36047112800,642
"36047021300, NY",36047021300,36047021300,690
"36047016300, NY",36047016300,36047016300,163
"36047035900, NY",36047035900,36047035900,1063
"36061002800, NY",36061002800,36061002800,1453
"36047037900, NY",36047037900,36047037900,488
"36061017000, NY",36061017000,36061017000,1674
"36061023100, NY",36061023100,36061023100,819
"36005039300, NY",36005039300,36005039300,1623
"36005005200, NY",36005005200,36005005200,442
"36081028200, NY",36081028200,36081028200,196
"36061010800, NY",36061010800,36061010800,568
"36061015700, NY",36061015700,36061015700,1073
"36005040702, NY",36005040702,36005040702,1321
"36047049400, NY",36047049400,36047049400,582
"36047056400, NY",36047056400,36047056400,199
"36047119400, NY",36047119400,36047119400,416
"36047079000, NY",36047079000,36047079000,791
"36081047300, NY",36081047300,36081047300,352
"36005039000, NY",36005039000,36005039000,352
"36005025000, NY",36005025000,36005025000,408
"36061013800, NY",36061013800,36061013800,806
"36061021800, NY",36061021800,36061021800,933
"36047044200, NY",36047044200,36047044200,299
"36081029500, NY",36081029500,36081029500,333
"36005008500, NY",36005008500,36005008500,685
"36047016100, NY",36047016100,36047016100,142
"36047088000, NY",36047088000,36047088000,399
"36047042300, NY",36047042300,36047042300,549
"36061013400, NY",36061013400,36061013400,1291
"36005014500, NY",36005014500,36005014500,1051
"36081052600, NY",36081052600,36081052600,257
"36005042300, NY",36005042300,36005042300,595
"36047024700, NY",36047024700,36047024700,376
"36061022200, NY",36061022200,36061022200,469
"36047002300, NY",36047002300,36047002300,774
"36061013900, NY",36061013900,36061013900,1606
"36047069200, NY",36047069200,36047069200,157
"36081060300, NY",36081060300,36081060300,169
"36047005100, NY",36047005100,36047005100,155
"36047047000, NY",36047047000,36047047000,341
"36047116400, NY",36047116400,36047116400,361
"36081076901, NY",36081076901,36081076901,448
"36047035700, NY",36047035700,36047035700,477
"36005016200, NY",36005016200,36005016200,155
"36061022800, NY",36061022800,36061022800,932
"36047076000, NY",36047076000,36047076000,340
"36061023200, NY",36061023200,36061023200,1235
"36047025700, NY",36047025700,36047025700,232
"36047096600, NY",36047096600,36047096600,218
"36061008800, NY",36061008800,36061008800,646
"36047025200, NY",36047025200,36047025200,494
"36047051400, NY",36047051400,36047051400,867
"36047033900, NY",36047033900,36047033900,927
"36047033500, NY",36047033500,36047033500,224
"36061016900, NY",36061016900,36061016900,437
"36081052800, NY",36081052800,36081052800,214
"36047054600, NY",36047054600,36047054600,478
"36047024100, NY",36047024100,36047024100,394
"36047073800, NY",36047073800,36047073800,242
"36047060600, NY",36047060600,36047060600,369
"36005022500, NY",36005022500,36005022500,731
"36081003600, NY",36081003600,36081003600,139
"36061023501, NY",36061023501,36061023501,840
"36047031500, NY",36047031500,36047031500,625
"36081004700, NY",36081004700,36081004700,505
"36061014000, NY",36061014000,36061014000,515
"36047088600, NY",36047088600,36047088600,787
"36061014200, NY",36061014200,36061014200,244
"36047089200, NY",36047089200,36047089200,656
"36047081600, NY",36047081600,36047081600,316
"36061009300, NY",36061009300,36061009300,1013
"36061009100, NY",36061009100,36061009100,569
"36047055000, NY",36047055000,36047055000,463
"36005031800, NY",36005031800,36005031800,152
"36061000201, NY",36061000201,36061000201,585
"36061012800, NY",36061012800,36061012800,320
"36081011300, NY",36081011300,36081011300,278
"36061017300, NY",36061017300,36061017300,899
"36047006900, NY",36047006900,36047006900,182
"36047045800, NY",36047045800,36047045800,147
"36061007700, NY",36061007700,36061007700,497
"36061020300, NY",36061020300,36061020300,137
"36081116100, NY",36081116100,36081116100,666
"36061014500, NY",36061014500,36061014500,384
"36061027900, NY",36061027900,36061027900,1268
"36061013000, NY",36061013000,36061013000,333
"36061004000, NY",36061004000,36061004000,718
"36047026800, NY",36047026800,36047026800,353
"36081018600, NY",36081018600,36081018600,128
"36061012100, NY",36061012100,36061012100,1155
"36047096200, NY",36047096200,36047096200,106
"36061017200, NY",36061017200,36061017200,751
"36061027300, NY",36061027300,36061027300,491
"36061009000, NY",36061009000,36061009000,808
"36061006300, NY",36061006300,36061006300,536
"36081026000, NY",36081026000,36081026000,305
"36005019900, NY",36005019900,36005019900,1155
"36061006400, NY",36061006400,36061006400,534
"36005031600, NY",36005031600,36005031600,148
"36047019400, NY",36047019400,36047019400,469
"36081028300, NY",36081028300,36081028300,583
"36047073600, NY",36047073600,36047073600,277
"36081027500, NY",36081027500,36081027500,542
"36061011900, NY",36061011900,36061011900,681
"36005023900, NY",36005023900,36005023900,1236
"36061016400, NY",36061016400,36061016400,1057
"36061015400, NY",36061015400,36061015400,1664
"36005014100, NY",36005014100,36005014100,776
"36061019600, NY",36061019600,36061019600,972
"36061007800, NY",36061007800,36061007800,623
"36047112400, NY",36047112400,36047112400,322
"36061007000, NY",36061007000,36061007000,545
"36047093400, NY",36047093400,36047093400,312
"36081027900, NY",36081027900,36081027900,727
"36061018200, NY",36061018200,36061018200,1216
"36061009800, NY",36061009800,36061009800,387
"36061011800, NY",36061011800,36061011800,721
"36061018400, NY",36061018400,36061018400,1290
"36081001800, NY",36081001800,36081001800,257
"36061021200, NY",36061021200,36061021200,743
"36081018800, NY",36081018800,36081018800,141
"36061011000, NY",36061011000,36061011000,595
"36047032700, NY",36047032700,36047032700,459
"36047046202, NY",36047046202,36047046202,188
"36081060000, NY",36081060000,36081060000,105
"36081027800, NY",36081027800,36081027800,507
"36061026900, NY",36061026900,36061026900,1064
"36005042400, NY",36005042400,36005042400,265
"36047096400, NY",36047096400,36047096400,206
"36061011500, NY",36061011500,36061011500,218
"36061019300, NY",36061019300,36061019300,1380
"36081023600, NY",36081023600,36081023600,334
"36047074800, NY",36047074800,36047074800,154
"36005025700, NY",36005025700,36005025700,251
"36081003800, NY",36081003800,36081003800,255
"36047013000, NY",36047013000,36047013000,405
"36061010900, NY",36061010900,36061010900,15
"36047057100, NY",36047057100,36047057100,645
"36005045101, NY",36005045101,36005045101,205
"36061011300, NY",36061011300,36061011300,0
"36061004800, NY",36061004800,36061004800,451
"36047022200, NY",36047022200,36047022200,663
"36061010100, NY",36061010100,36061010100,101
"36061005800, NY",36061005800,36061005800,280
"36047018000, NY",36047018000,36047018000,120
"36061009600, NY",36061009600,36061009600,31
"36047024800, NY",36047024800,36047024800,257
"36061019400, NY",36061019400,36061019400,1375
"36061022000, NY",36061022000,36061022000,774
"36047047400, NY",36047047400,36047047400,419
"36005042200, NY",36005042200,36005042200,334
"36061011100, NY",36061011100,36061011100,426
"36047020100, NY",36047020100,36047020100,217
"36061007200, NY",36061007200,36061007200,657
"36047022400, NY",36047022400,36047022400,736
"36047052800, NY",36047052800,36047052800,230
"36005025500, NY",36005025500,36005025500,888
"36081027700, NY",36081027700,36081027700,636
"36047048600, NY",36047048600,36047048600,268
"36047025400, NY",36047025400,36047025400,421
"36061017700, NY",36061017700,36061017700,937
"36061009700, NY",36061009700,36061009700,859
"36047052900, NY",36047052900,36047052900,702
"36061006600, NY",36061006600,36061006600,1487
"36047018800, NY",36047018800,36047018800,217
"36005024400, NY",36005024400,36005024400,330
"36081028100, NY",36081028100,36081028100,666
"36061013300, NY",36061013300,36061013300,623
"36005041300, NY",36005041300,36005041300,932
"36061006800, NY",36061006800,36061006800,414
"36047050700, NY",36047050700,36047050700,251
"36061012500, NY",36061012500,36061012500,175
"36005024900, NY",36005024900,36005024900,0
"36061007600, NY",36061007600,36061007600,179
"36061015300, NY",36061015300,36061015300,750
"36061008100, NY",36061008100,36061008100,566
"36061013100, NY",36061013100,36061013100,346
"36005038900, NY",36005038900,36005038900,856
"36047038300, NY",36047038300,36047038300,591
"36061014900, NY",36061014900,36061014900,375
"36061008300, NY",36061008300,36061008300,548
"36047050100, NY",36047050100,36047050100,258
